study_id,model,condition,criterion_agreement,model_overall_rob,gold_overall_rob,overall_correct,derived_overall_rob,derived_overall_correct,parse_failure
Choi JY,gemini-3.1-pro-preview,A,,,serious,,,,true
Cowling,gemini-3.1-pro-preview,A,,,serious,,,,true
Davalgi,gemini-3.1-pro-preview,A,,,serious,,,,true
Dinh,gemini-3.1-pro-preview,A,,,serious,,,,true
Lam,gemini-3.1-pro-preview,A,,,serious,,,,true
Nachega,gemini-3.1-pro-preview,A,,,serious,,,,true
Ng,gemini-3.1-pro-preview,A,,,serious,,,,true
Wilasang,gemini-3.1-pro-preview,A,,,serious,,,,true
Wong,gemini-3.1-pro-preview,A,,,serious,,,,true
Bernard Stoecklin,gemini-3.1-pro-preview,B,0.750000,serious,serious,true,serious,true,false
Bi,gemini-3.1-pro-preview,B,0.750000,moderate,serious,false,moderate,false,false
Burke,gemini-3.1-pro-preview,B,1.000000,serious,serious,true,serious,true,false
Chen,gemini-3.1-pro-preview,B,0.875000,moderate,serious,false,moderate,false,false
Choi H,gemini-3.1-pro-preview,B,0.250000,serious,serious,true,serious,true,false
Choi JY,gemini-3.1-pro-preview,B,0.125000,serious,serious,true,serious,true,false
Cowling,gemini-3.1-pro-preview,B,0.875000,serious,serious,true,serious,true,false
Davalgi,gemini-3.1-pro-preview,B,0.250000,serious,serious,true,serious,true,false
Dinh,gemini-3.1-pro-preview,B,0.500000,serious,serious,true,serious,true,false
Lam,gemini-3.1-pro-preview,B,0.750000,serious,serious,true,serious,true,false
Nachega,gemini-3.1-pro-preview,B,0.250000,serious,serious,true,serious,true,false
Ng,gemini-3.1-pro-preview,B,0.750000,serious,serious,true,serious,true,false
Wilasang,gemini-3.1-pro-preview,B,0.625000,serious,serious,true,serious,true,false
Wong,gemini-3.1-pro-preview,B,0.250000,serious,serious,true,serious,true,false
Bernard Stoecklin,gemini-3.1-pro-preview,C,0.625000,serious,serious,true,serious,true,false
Bi,gemini-3.1-pro-preview,C,0.750000,moderate,serious,false,moderate,false,false
Burke,gemini-3.1-pro-preview,C,1.000000,serious,serious,true,serious,true,false
Chen,gemini-3.1-pro-preview,C,0.875000,moderate,serious,false,moderate,false,false
Choi H,gemini-3.1-pro-preview,C,0.250000,serious,serious,true,serious,true,false
Choi JY,gemini-3.1-pro-preview,C,0.625000,serious,serious,true,serious,true,false
Cowling,gemini-3.1-pro-preview,C,0.875000,serious,serious,true,serious,true,false
Davalgi,gemini-3.1-pro-preview,C,0.625000,serious,serious,true,serious,true,false
Dinh,gemini-3.1-pro-preview,C,0.750000,serious,serious,true,serious,true,false
Lam,gemini-3.1-pro-preview,C,0.750000,serious,serious,true,serious,true,false
Nachega,gemini-3.1-pro-preview,C,0.250000,serious,serious,true,serious,true,false
Ng,gemini-3.1-pro-preview,C,0.750000,serious,serious,true,serious,true,false
Wilasang,gemini-3.1-pro-preview,C,0.875000,serious,serious,true,serious,true,false
Wong,gemini-3.1-pro-preview,C,0.250000,serious,serious,true,serious,true,false
Bernard Stoecklin,gemini-3.1-pro-preview,D,0.875000,serious,serious,true,serious,true,false
Bi,gemini-3.1-pro-preview,D,0.875000,serious,serious,true,serious,true,false
Burke,gemini-3.1-pro-preview,D,0.875000,serious,serious,true,serious,true,false
Chen,gemini-3.1-pro-preview,D,0.875000,low,serious,false,low,false,false
Choi H,gemini-3.1-pro-preview,D,0.625000,serious,serious,true,serious,true,false
Choi JY,gemini-3.1-pro-preview,D,0.625000,serious,serious,true,serious,true,false
Cowling,gemini-3.1-pro-preview,D,0.750000,serious,serious,true,serious,true,false
Davalgi,gemini-3.1-pro-preview,D,0.500000,serious,serious,true,serious,true,false
Dinh,gemini-3.1-pro-preview,D,0.625000,serious,serious,true,serious,true,false
Lam,gemini-3.1-pro-preview,D,0.625000,serious,serious,true,serious,true,false
Nachega,gemini-3.1-pro-preview,D,0.250000,serious,serious,true,serious,true,false
Ng,gemini-3.1-pro-preview,D,0.625000,serious,serious,true,serious,true,false
Wilasang,gemini-3.1-pro-preview,D,0.875000,serious,serious,true,serious,true,false
Wong,gemini-3.1-pro-preview,D,0.750000,serious,serious,true,serious,true,false
